Timestamp,PPG
186483.5065383,42877.0,83760.0
186483.5065649,42871.0,83744.0
186483.506586,42859.0,83720.0
186483.5066069,42871.0,83668.0
186483.6067756,42907.0,84060.0
186483.6067939,42870.0,83760.0
186483.6068046,42866.0,83756.0
186483.6068149,42879.0,83748.0
186483.6068264,42867.0,83644.0
186483.6068474,42889.0,83984.0
186483.6068669,42862.0,83788.0
186483.6068821,42880.0,83740.0
186483.6068974,42874.0,83764.0
186483.6069173,42879.0,83760.0
186483.7068022,42907.0,84060.0
186483.7068217,42877.0,83828.0
186483.706838,42866.0,83756.0
186483.706853,42875.0,83816.0
186483.7068802,42867.0,83644.0
186483.7068942,42889.0,83984.0
186483.7069091,42866.0,83844.0
186483.7069216,42880.0,83740.0
186483.7069346,42874.0,83820.0
186483.7069489,42879.0,83760.0
186483.8037568,42877.0,83905.0
186483.8037801,42866.0,83842.0
186483.8038006,42870.0,83749.0
186483.8038142,42873.0,83917.0
186483.8038314,42859.0,83716.0
186483.803846,42906.0,83938.0
186483.803862,42864.0,83875.0
186483.8038782,42871.0,83743.0
186483.8038931,42874.0,83944.0
186483.8039116,42871.0,83668.0
186483.9078888,42873.0,83998.0
186483.907902,42866.0,83842.0
186483.9079107,42870.0,83749.0
186483.9079188,42886.0,84010.0
186483.9079278,42859.0,83716.0
186483.9079357,42891.0,84001.0
186483.9079436,42864.0,83875.0
186483.9079513,42871.0,83743.0
186483.9079592,42895.0,84004.0
186483.9079672,42871.0,83668.0
186484.0116335,42893.0,83770.0
186484.0116592,42886.0,83876.0
186484.0116766,42866.0,83756.0
186484.0116901,42884.0,83758.0
186484.0117015,42867.0,83644.0
186484.0117107,42877.0,83740.0
186484.0117211,42860.0,83888.0
186484.0117336,42880.0,83740.0
186484.0117492,42869.0,83742.0
186484.0117586,42879.0,83762.0
186484.1316547,42880.0,83712.0
186484.1316696,42886.0,83876.0
186484.1317193,42866.0,83756.0
186484.1317316,42858.0,83710.0
186484.1317412,42867.0,83644.0
186484.1317505,42899.0,83704.0
186484.1317598,42860.0,83888.0
186484.1317691,42880.0,83740.0
186484.1318881,42850.0,83710.0
186484.131927,42879.0,83762.0
186484.2221957,42890.0,83726.0
186484.2222078,42866.0,83842.0
186484.2222169,42870.0,83750.0
186484.222225,42853.0,83720.0
186484.2222597,42859.0,83718.0
186484.2222926,42893.0,83726.0
186484.222314,42864.0,83876.0
186484.2223383,42871.0,83744.0
186484.2223534,42844.0,83720.0
186484.2223626,42871.0,83668.0
186484.3250951,42884.0,83766.0
186484.3251096,42866.0,83842.0
186484.3251192,42870.0,83750.0
186484.3251287,42868.0,83782.0
186484.3251386,42859.0,83718.0
